Vercel CLI 54.14.5 (Node.js 24.18.0)
Resolving deployment "www.madmonacairo.com"
Fetching project "prj_Anl9KWbT8pSqbbXs0ZMlTO67Xg8s"
Fetching logs...
TIME         HOST                                                      LEVEL                                       STATUS  MESSAGE   
03:50:37.25  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/integrations/dispatch     ---     (no messa…
03:50:30.55  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/cron/wa-queue-send        200     (no messa…
03:50:30.52  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/push/process-queue        200     (no messa…
03:50:22.27  www.madmonacairo.com                                      info   ◇ GET /robots.txt                    200     (no messa…
03:50:21.93  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:47:22.56  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:47:22.56  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:47:19.46  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:46:31.05  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/integrations/dispatch     200     (no messa…
03:45:36.41  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:45:30.33  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/cron/wa-queue-send        200     (no messa…
03:45:30.31  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/push/process-queue        200     (no messa…
03:45:26.42  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:45:16.43  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:45:06.45  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:56.41  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:46.42  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:35.60  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:25.64  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:15.61  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:06.00  www.madmonacairo.com                                      info   ◇ GET /chat                          200     (no messa…
03:44:05.97  www.madmonacairo.com                                      info   λ GET /add-listing                   200     (no messa…
03:44:05.96  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:44:05.91  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:44:05.90  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:44:05.90  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:44:05.90  www.madmonacairo.com                                      info   ◇ GET /account                       200     (no messa…
03:44:05.90  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:44:05.59  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:44:02.05  www.madmonacairo.com                                      info   λ POST /api/push/subscribe           200     (no messa…
03:44:01.33  www.madmonacairo.com                                      info   λ POST /api/push/subscribe           200     (no messa…
03:43:58.78  www.madmonacairo.com                                      info   λ POST /api/daily-messages           200     (no messa…
03:43:58.62  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.62  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.60  www.madmonacairo.com                                      info   ε POST /api/events/track             200     (no messa…
03:43:58.60  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/daily-messages            200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/developer-logos           200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.57  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.56  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.55  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.55  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:43:58.55  www.madmonacairo.com                                      info   λ GET /api/news-feed                 200     (no messa…
03:50:38.21  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/cron/wa-sync              200     (no messa…
03:50:37.25  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/integrations/dispatch     200     (no messa…
03:50:30.55  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/cron/wa-queue-send        200     (no messa…
03:50:30.52  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/push/process-queue        200     (no messa…
03:50:22.27  www.madmonacairo.com                                      info   ◇ GET /robots.txt                    200     (no messa…
03:50:21.93  www.madmonacairo.com                                      info   λ GET /marketplace                   200     (no messa…
03:47:22.56  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:47:22.56  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:47:19.46  www.madmonacairo.com                                      info   λ POST /api/whatsapp/openwa          200     [openwa-r…
03:46:31.05  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/integrations/dispatch     200     (no messa…
03:45:36.41  www.madmonacairo.com                                      info   λ GET /api/admin/marid-monitor       200     (no messa…
03:45:30.33  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/cron/wa-queue-send        200     (no messa…
03:45:30.31  madmona-kf55102kz-madmonaadmin-1699s-projects.vercel.app  info   λ GET /api/push/process-queue        200     (no messa…
